"";"OBJECTID";"PARCELID";"PRINTKEY";"STREET_NUM";"STREET_NAME";"SITEADDRESS";"CITY";"ZIP5";"CLASSCD";"CLASSDSCRP";"PRPRTYDSCRP";"OWNERNME1";"PSTLADDRESS";"PSTLCITY";"LOT_FRONTAGE";"LOT_DEPTH";"STATEDAREA";"CURRENT_LAND_VALUE";"CURRENT_TOTAL_VALUE";"CURRENT_TAXABLE_VALUE";"TENTATIVE_LAND_VALUE";"TENTATIVE_TOTAL_VALUE";"TENTATIVE_TAXABLE_VALUE";"SALE_DATE";"SALE_PRICE";"BOOK";"PAGE";"DEED_TYPE";"VALID";"RESCOM";"CALCULATEDACRES";"SHAPEACRES";"BISZONING";"Shape.STArea..";"Shape.STLength..";"OWNERSHIPCODE";"LOW_STREET_NUM";"HIGH_STREET_NUM";"lon";"lat";"crime_count"
"5151";35515;"12178000010240000000";"121.78-1-24";"11";"HARMON PL";"11 HARMON PL";"ROCHESTER";"14620";"331";"COM VACANT W/MINOR IMPRV";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"140";"170";"0";"23600";"30000";30000;23600;30000;30000;"07/01/1982";"0";"00500";"00443";"W";"";"C";0,54637282;0,54636855;"R-1";4153,9609375;259,218351118573;" ";11;11;-77,615754;43,1357209;5765
"5312";35531;"10625000020590010000";"106.25-2-59.001";"467";"WILKINS ST";"467 WILKINS ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"76";"100.92";"0.17";"4000";"4000";4000;4000;4000;4000;" ";"0";"00000";"00000";" ";"";"R";0,17607713;0,17622056;"R-1";1341,640625;148,187240925621;" ";467;467;-77,5974369;43,178793;9166
"5696";35569;"09170000020620000000";"091.70-2-62";"35";"MAZDA TER";"35 MAZDA TER";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"41";"145.72";"0";"3000";"3000";3000;3000;3000;3000;"11/07/2003";"616203";"09875";"00325";"T";"";"R";0,13715611;0,13638288;"R-1";1038,4921875;155,612793224273;" ";35;35;-77,615144;43,182664;9155
"605";35605;"10563000010580010000";"105.63-1-58.001";"241";"FREELAND ST";"241 FREELAND ST";"ROCHESTER";"14606";"311";"RESIDENTIAL VACANT LAND";NA;"LAVILLA STEPHEN N  ";"115 FAIRGATE ST";"ROCHESTER NY  14606";"40.01";"60.04";"0.04";"1600";"1600";1600;1600;1600;1600;"02/09/2004";"1";"09916";"00163";"Q";"";"R";0,05514693;0,03983319;NA;303,1484375;73,2972887259372;" ";241;241;-77,656953;43,166021;3564
"6181";35618;"10568000010220000000";"105.68-1-22";"230";"SPENCER ST";"230 SPENCER ST";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"50";"124.15";"0";"4300";"4300";4300;4300;4300;4300;"11/08/2002";"450";"09703";"00367";"B";"";"R";0,14250459;0,14375024;"R-1";1093,96875;145,889132687381;" ";230;230;-77,628356;43,165401;9687
"6312";35631;"12178000010310000000";"121.78-1-31";"238";"JOSEPH C WILSON BLVD";"238 JOSEPH C WILSON BLVD";"ROCHESTER";"14620";"311";"RESIDENTIAL VACANT LAND";NA;"UNIVERSITY OF ROCHESTER  ";"ADMINISTRATION BLDG 200";"ROCHESTER  NY  14627";"70";"175";"0";"15900";"15900";15900;15900;15900;15900;"01/10/1990";"61500";"07823";"00197";"W";"";"R";0,2812213;0,25779824;"R-1";1960,09765625;203,911657195863;" ";238;238;-77,61672;43,137147;6379
"6332";35633;"12184000020230000000";"121.84-2-23";"116";"PINNACLE RD";"116 PINNACLE RD";"ROCHESTER";"14620";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"100";"375";"0";"21000";"21000";21000;21000;21000;21000;" ";"0";"00000";"00000";" ";"";"R";0,86088154;0,6804075;NA;5173,10546875;377,713944352316;" ";116;116;-77,582545;43,1364919;3084
"6532";35653;"12178000010270000000";"121.78-1-27";"258";"JOSEPH C WILSON BLVD";"258 JOSEPH C WILSON BLVD";"ROCHESTER";"14620";"311";"RESIDENTIAL VACANT LAND";NA;"UNIVERSITY OF ROCHESTER  ";"ADMINISTRATION BLDG 200";"ROCHESTER  NY  14627";"58.79";"261.21";"0";"16800";"16800";16800;16800;16800;16800;" ";"0";"00000";"00000";" ";"";"R";0,35253756;0,31292492;"R-1";2379,203125;256,008970079213;" ";258;258;-77,616806;43,136687;6253
"6932";35693;"10525000010570000000";"105.25-1-57";"20";"BANTEL PL";"20 BANTEL PL";"ROCHESTER";"14613";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"30";"100";"0";"2000";"2000";2000;2000;2000;2000;"11/06/2002";"494621";"09701";"00270";"T";"";"R";0,06887052;0,0695384;"R-1";529,44140625;108,53829851372;" ";20;20;0;0;0
"6991";35699;"10525000010450000000";"105.25-1-45";"25";"STARLING ST";"25 STARLING ST";"ROCHESTER";"14613";"311";"RESIDENTIAL VACANT LAND";NA;"NGUYEN BICH  ";"19 STARLING ST";"ROCHESTER  NY  14613";"33.33";"100";"0";"5000";"5000";5000;5000;5000;5000;"12/05/2005";"29900";"10226";"00018";"B";"";"R";0,07651515;0,07595974;"R-1";578,3203125;111,200315085346;" ";25;25;-77,645331;43,1786869;5553
