"";"OBJECTID";"PARCELID";"PRINTKEY";"STREET_NUM";"STREET_NAME";"SITEADDRESS";"CITY";"ZIP5";"CLASSCD";"CLASSDSCRP";"PRPRTYDSCRP";"OWNERNME1";"PSTLADDRESS";"PSTLCITY";"LOT_FRONTAGE";"LOT_DEPTH";"STATEDAREA";"CURRENT_LAND_VALUE";"CURRENT_TOTAL_VALUE";"CURRENT_TAXABLE_VALUE";"TENTATIVE_LAND_VALUE";"TENTATIVE_TOTAL_VALUE";"TENTATIVE_TAXABLE_VALUE";"SALE_DATE";"SALE_PRICE";"BOOK";"PAGE";"DEED_TYPE";"VALID";"RESCOM";"CALCULATEDACRES";"SHAPEACRES";"BISZONING";"Shape.STArea..";"Shape.STLength..";"OWNERSHIPCODE";"LOW_STREET_NUM";"HIGH_STREET_NUM";"lon";"lat";"crime_count"
"202";13202;"12173000010170020000";"121.73-1-17.002";"55";"CAYUGA ST";"55 CAYUGA ST";"ROCHESTER";"14620";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"0";"1.95";"0";"100";"100";100;100;100;100;"05/13/2013";"1";"11252";"00069";"T";"";"R";0;0,00057254;"R-1";4,35546875;17,028069969428;" ";55;55;-77,599395;43,140759;6701
"219";13219;"12225000020310010000";"122.25-2-31.001";"341";"CARLING RD";"341 CARLING RD";"ROCHESTER";"14610";"311";"RESIDENTIAL VACANT LAND";NA;"THOMPSON JOHN F & LOUER-THOMPSON ELIZABETH";"331 CARLING RD";"ROCHESTER NY  14610";"80";"117.89";"0";"10000";"10000";10000;10000;10000;10000;"08/07/2015";"225000";"11577";"198";"W";"";"R";0,21651056;0,21378123;"R-1";1626,3984375;164,184870617979;" ";341;341;-77,551551;43,156007;2189
"2281";13228;"12223000020400000000";"122.23-2-40";"90";"COVENTRY AV";"90 COVENTRY AV";"ROCHESTER";"14610";"311";"RESIDENTIAL VACANT LAND";NA;"BURKHARDT-BEIDEMAN DIANA  ";"94 COVENTRY AV";"ROCHESTER NY  14610";"40";"115";"0";"6900";"6900";6900;6900;6900;6900;"03/22/2006";"1";"10272";"00261";"Q";"";"R";0,10560147;0,10325001;"R-1";785,49609375;128,463474944235;" ";90;90;-77,562492;43,155872;3789
"251";13251;"10630000010140000000";"106.30-1-14";"35";"TREYER ST";"35 TREYER ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"34.89";"96.16";"0";"1500";"1500";1500;1500;1500;1500;"04/16/2013";"1";"11241";"00608";"T";"";"R";0,07702072;0,07680451;"R-1";584,72265625;109,190973125248;" ";35;35;-77,615898;43,176952;8786
"2544";13254;"10626000030440000000";"106.26-3-44";"358";"ALPHONSE ST";"358 ALPHONSE ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"39";"143.5";"0.13";"4200";"4200";4200;4200;4200;4200;"12/24/2015";"347080";"11637";"00095";"T";"";"R";0,12847796;0,13378109;"R-1";1018,46484375;153,647033066018;" ";358;358;-77,594491;43,1766999;9650
"2682";13268;"10632000020110180000";"106.32-2-11.018";"100";"ALPHONSE ST";"100 ALPHONSE ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"48";"144.5";"0.16";"4500";"4500";4500;4500;4500;4500;"04/26/2011";"1";"10991";"00222";"T";"";"R";0,15922865;0,16478573;"R-1";1254,50390625;162,816761431596;" ";100;100;-77,6016999;43,176529;7950
"271";13271;"10636000010270000000";"106.36-1-27";"32";"NICHOLS ST";"32 NICHOLS ST";"ROCHESTER";"14609";"311";"RESIDENTIAL VACANT LAND";NA;"MINARDO JOHN E  ";"710 S GARFIELD ST";"E ROCHESTER  NY  14445";"39.6";"100.32";"0";"5600";"5600";5600;5600;5600;5600;"11/16/1988";"5800";"07499";"00091";"E";"";"R";0,0912;0,09292316;"R-1";707,41015625;117,451559000793;" ";32;32;-77,580816;43,17642;6329
"2761";13276;"10631000020160000000";"106.31-2-16";"667-669";NA;NA;"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";NA;NA;NA;NA;NA;"4200";"4200";4200;4200;4200;4200;"04/11/2014";"461694";"11396";"00001";"T";"";NA;NA;0,09158878;"R-2";697,26171875;132,062825269334;" ";NA;NA;-77,6109219;43,16103;10867
"2821";13282;"10634000010290030000";"106.34-1-29.003";"569-571";"PORTLAND AV";"569-571 PORTLAND AV";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"110";"110.79";"0.23";"11600";"11600";11600;11600;11600;11600;"01/30/2007";"239351";"10415";"00281";"T";"";"R";0,27977273;0,22361657;"R-1";1702,36328125;191,005148594069;" ";569;571;-77,5908768;43,1759733;8002
"3041";13304;"10676000010180000000";"106.76-1-18";"16";"MINGES AL";"16 MINGES AL";"ROCHESTER";"14609";"330";"VACANT COMMERCIAL LAND";NA;"MASJID AS-SUNNAH  ";"PO BOX 90752";"ROCHESTER  NY  14609";"21";"50.25";"0";"1600";"1600";1600;1600;1600;1600;"03/10/2005";"1";"10136";"00062";"Q";"";"C";0,02422521;0,02502996;"C-2";190,4609375;59,9649158084455;" ";16;16;-77,5825739;43,162465;8466
"3063";13306;"10674000010190000000";"106.74-1-19";"181";"N UNION ST";"181 N UNION ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"BAKER JAMES & BARBARA J  ";"PO BOX 247";"EAST ROCHESTER  NY  14445";"40";"85";"0";"1000";"1000";1000;1000;1000;1000;"04/01/1982";"0";"06137";"00198";"W";"";"R";0,07805326;0,07609256;"MH-URD/R-2";579,02734375;103,453840055509;" ";181;181;-77,593095;43,162446;11143
"3131";13313;"10676000010440000000";"106.76-1-44";"1200";"E MAIN ST";"1200 E MAIN ST";"ROCHESTER";"14609";"330";"VACANT COMMERCIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"148.44";"190";"0";"20000";"20000";20000;20000;20000;20000;"05/06/1998";"1";"09003";"00351";"F";"";"C";0,64746556;0,6166194;"C-2";4692,02734375;280,151159801324;" ";1200;1200;-77,579818;43,162028;7747
"3141";13314;"10673000020480000000";"106.73-2-48";"302";"SCIO ST";"302 SCIO ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"NEW BETHEL C M E CHURCH  ";"270 SCIO ST";"ROCHESTER  NY  14605";"39.9";"94.6";"0";"1000";"1000";1000;1000;1000;1000;" ";"0";"00000";"00000";" ";"";"R";0,08665152;0,08572095;"MH-URD/R-2";652,28515625;112,174535468452;" ";302;302;-77,596778;43,162299;11440
"3222";13322;"10674000010610000000";"106.74-1-61";"119";"WELD ST";"119 WELD ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM125B";"ROCHESTER  NY  14614";"34.09";"130";"0";"2800";"2800";2800;2800;2800;2800;"02/01/1996";"1";"08702";"00407";"F";"";"R";0,10173783;0,10299392;"MH-URD/R-2";783,703125;137,275710114684;" ";119;119;-77,595299;43,161729;11420
"3711";13371;"12161000020920000000";"121.61-2-92";"122";"COLUMBIA AV";"122 COLUMBIA AV";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"25";"174.8";"0";"800";"800";800;800;800;800;"12/24/2015";"347080";"11637";"00095";"T";"";"R";0,1003214;0,09839994;"R-1";748,27734375;167,423354105577;" ";122;122;-77,623756;43,141986;7248
"3971";13397;"12235000010350000000";"122.35-1-35";"145";"NEWCASTLE RD";"145 NEWCASTLE RD";"ROCHESTER";"14610";"311";"RESIDENTIAL VACANT LAND";NA;"COSTELLO BRETT A & CHRIST  ";"139 NEWCASTLE RD";"ROCHESTER  NY  14610";"35";"207.49";"0";"8600";"8600";8600;8600;8600;8600;"11/01/1989";"242500";"07769";"00225";"W";"";"R";0,16671602;0,1683482;"R-1";1280,58984375;202,355154606097;" ";145;145;-77,543455;43,152287;1191
"4021";13402;"12233000010410000000";"122.33-1-41";"135";"CARLING RD";"135 CARLING RD";"ROCHESTER";"14610";"311";"RESIDENTIAL VACANT LAND";NA;"DOBSTAFF MARY & BARDOSSI  ";"139 CARLING RD";"ROCHESTER  NY  14610";"126.2";"115.61";"0";"3200";"3200";3200;3200;3200;3200;"04/20/1988";"1";"07312";"00131";"W";"";"R";0,3349399;0,06822166;"R-1";518,94921875;122,684459630368;" ";135;135;-77,553229;43,152233;2028
"4161";13416;"10638000010360000000";"106.38-1-36";"130";"SCRANTOM ST";"130 SCRANTOM ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"COLON ENEIDA  ";"128 SCRANTOM ST";"ROCHESTER NY  14605";"34";"136.4";"0.08";"2600";"2600";2600;2600;2600;2600;"05/12/2006";"1";"10297";"00264";"Q";"";"R";0,10646465;0,0869086;"R-1";661,5703125;137,233303488507;" ";130;130;-77,613601;43,173569;9745
"4303";13430;"10643000010430000000";"106.43-1-43";"52";"MILLER ST";"52 MILLER ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"40";"290.2";"0.27";"6500";"6500";6500;6500;6500;6500;"10/05/2015";"1";"11600";"00393";"Q";"";"R";0,26648301;0,39877786;"R-1";3035,53125;298,706713647165;" ";52;52;-77,5892329;43,173159;8543
"4321";13432;"10642000010400000000";"106.42-1-40";"52";"HOLLISTER ST";"52 HOLLISTER ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"40";"109.95";"0";"2800";"2800";2800;2800;2800;2800;"02/01/1996";"1";"08702";"00407";"F";"";"R";0,10096419;0,10305642;"R-1";784,48046875;126,026323257154;" ";52;52;-77,593583;43,173307;9117
"4331";13433;"10638000010630000000";"106.38-1-63";"66";"SCRANTOM ST";"66 SCRANTOM ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"40.3";"128.4";"0";"2900";"2900";2900;2900;2900;2900;"04/11/2014";"461694";"11396";"00001";"T";"";"R";0,11879063;0,11975024;"R-1";911,5546875;142,048828766098;" ";66;66;-77,617591;43,1733439;9961
"435";13435;"10641000020340010000";"106.41-2-34.001";"32";"REED PK";"32 REED PK";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"60.22";"103.15";"0";"3000";"3000";3000;3000;3000;3000;"04/15/2008";"1";"10604";"00015";"Q";"";"R";0,14260085;0,13948375;"R-1";1061,76171875;134,899807609277;" ";32;32;-77,59755;43,173264;9791
"436";13436;"10641000020360010000";"106.41-2-36.001";"28";"REED PK";"28 REED PK";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"60";"101.13";"0";"3000";"3000";3000;3000;3000;3000;"11/06/2002";"494621";"09701";"00270";"T";"";"R";0,13929752;0,13436519;"R-1";1022,8046875;132,263071833673;" ";28;28;-77,597823;43,1732609;9765
"4381";13438;"10640000020540010000";"106.40-2-54.001";"38";"THOMAS ST";"38 THOMAS ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"49.5";"192.5";"0";"3600";"3600";3600;3600;3600;3600;"03/07/2003";"97277";"09754";"00483";"T";"";"R";0,21875;0,20800581;"R-1";1583,375;195,315425417106;" ";38;38;-77,604056;43,173375;9679
"444";13444;"10642000010090000000";"106.42-1-9";"389";"PORTLAND AV";"389 PORTLAND AV";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"40";"120";"0";"2800";"2800";2800;2800;2800;2800;" ";"0";"00000";"00000";" ";"";"R";0,11019284;0,10962822;"M-1";834,4921875;133,845705631869;" ";389;389;-77,593268;43,173065;9163
"4463";13446;"10642000010370000000";"106.42-1-37";"46";"HOLLISTER ST";"46 HOLLISTER ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"40";"109.98";"0.1";"2700";"2700";2700;2700;2700;2700;"03/15/2007";"1";"10434";"00164";"Q";"";"R";0,10099174;0,1019353;"R-1";775,9375;125,873738305313;" ";46;46;-77,593786;43,173012;9396
"4781";13478;"10681000020570000000";"106.81-2-57";"62-64";"SCIO ST";"62-64 SCIO ST";"ROCHESTER";"14604";"330";"VACANT COMMERCIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"55";"200.08";"0";"55000";"55000";55000;55000;55000;55000;"09/11/1996";"645000";"08786";"00580";"W";"";"C";0,25262626;0,25187489;"CCD-E";1916,32421875;212,572543686991;" ";62;64;-77,59904;43,157661;10912
"535";13535;"12263000010020000000";"122.63-1-2";"9";"HILLSIDE AV";"9 HILLSIDE AV";"ROCHESTER";"14610";"311";"RESIDENTIAL VACANT LAND";NA;"MONROE COUNTY WATER AUTHO  ";"475 NORRIS DR";"ROCHESTER  NY  14610";"99.66";"140";"0";"25000";"25000";25000;25000;25000;25000;"11/17/2000";"80000";"09389";"00018";"W";"";"R";0,32030303;0,39864128;"R-1";3031,46484375;263,008134531523;" ";9;9;-77,566018;43,14281;2066
"5521";13552;"12274000010020010000";"122.74-1-2.001";"120";"GOULD ST";"120 GOULD ST";"ROCHESTER";"14610";"330";"VACANT COMMERCIAL LAND";NA;"MID TOWN ATHLETIC CLUB LP  ";"200 E HIGHLAND DR";"ROCHESTER  NY  14610";"80";"125";"0";"10500";"10500";10500;10500;10500;10500;"09/20/2004";"145000";"10021";"00591";"W";"";"C";0,22956841;0,22713583;"PD#8";1727,125;167,924546656813;" ";120;120;-77,54947;43,140675;825
"5661";13566;"10632000030260010000";"106.32-3-26.001";"25";"BARONS ST";"25 BARONS ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"68.7";"135.76";"0.21";"5600";"5600";5600;5600;5600;5600;"05/14/2012";"678681";"11120";"00353";"T";"";"R";0,21411185;0,21042154;"R-1";1601,8359375;170,479996718064;" ";25;25;-77,601823;43,174714;8963
"567";13567;"10633000030520000000";"106.33-3-52";"18";"WATKIN TER";"18 WATKIN TER";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"NORTHSIDE CHURCH OF CHRIS  ";"634 HUDSON AV";"ROCHESTER  NY  14621";"43.55";"36";"0";"800";"800";800;800;800;800;"12/23/2013";"1";"11345";"00539";"Q";"";"R";0,03599174;0,03484199;"R-1";265,23828125;65,2968541611313;" ";18;18;-77,598573;43,174692;8991
"5691";13569;"10634000020390000000";"106.34-2-39";"482-484";"PORTLAND AV";"482-484 PORTLAND AV";"ROCHESTER";"14605";"330";"VACANT COMMERCIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"37";"110";"0";"3500";"3500";3500;3500;3500;3500;"11/17/2000";"688766";"09388";"00512";"T";"";"C";0,09343434;0,09217294;"M-1";701,65625;122,341437992626;" ";482;484;-77,591486;43,174556;8333
"5711";13571;"10634000030250000000";"106.34-3-25";"176-178";"LINCOLN ST";"176-178 LINCOLN ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST  RM 125B";"ROCHESTER NY  14614";"40";"110.32";"0.1";"2800";"2800";2800;2800;2800;2800;"12/24/2015";"347080";"11637";"00095";"T";"";"R";0,10130395;0,09958419;"R-1";758,0703125;124,852539003883;" ";176;178;-77,593902;43,174558;8656
"573";13573;"10631000030300010000";"106.31-3-30.001";"576-590";"JOSEPH AV";"576-590 JOSEPH AV";"ROCHESTER";"14605";"330";"VACANT COMMERCIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"144.1";"122.2";"0.41";"14300";"14300";14300;14300;14300;14300;"08/06/1993";"1";"08374";"00239";"F";"";"C";0,40424747;0,40453213;"C-1";3079,5078125;222,80355125835;" ";576;590;-77,607232;43,174708;9578
"5741";13574;"10633000010290000000";"106.33-1-29";"567-569";"HUDSON AV";"567-569 HUDSON AV";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"35";"124";"0";"2800";"2800";2800;2800;2800;2800;"01/29/2008";"416524";"10575";"00151";"T";"";"R";0,09963269;0,09926558;"R-1";755,65625;133,296133366103;" ";567;569;-77,599461;43,1746679;8973
"578";13578;"10634000020200000000";"106.34-2-20";"20";"LOCHNER PL";"20 LOCHNER PL";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"38.55";"142.08";"0";"3000";"3000";3000;3000;3000;3000;"07/15/1999";"1";"09186";"00693";"W";"";"R";0,12573884;0,12093805;"R-1";920,6171875;148,826585301567;" ";20;20;-77,589911;43,1743669;8240
"581";13581;"10634000020360000000";"106.34-2-36";"1";"LOCHNER PL";"1 LOCHNER PL";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"AJR REAL ESTATE HOLDINGS LLC";"432 PORTLAND AV";"ROCHESTER  NY  14605";"36.5";"110.5";"0";"2700";"2700";2700;2700;2700;2700;"03/29/2012";"4000";"11104";"00413";"Q";"";"R";0,09259068;0,09139072;"R-1";695,703125;122,803520278426;" ";1;1;-77,591309;43,174371;8374
"582";13582;"10633000010300000000";"106.33-1-30";"563-565";"HUDSON AV";"563-565 HUDSON AV";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"IGLESIA CRISTIANA CASA DE ORACION Y RESTAURACION";"545 HUDSON AV";"ROCHESTER  NY  14605";"35.5";"124";"0.1";"2800";"2800";2800;2800;2800;2800;"03/29/2012";"300000";"11104";"00673";"B";"";"R";0,10105601;0,1029121;"R-1";783,40625;134,319448607;" ";563;565;-77,599501;43,174574;9050
"5832";13583;"10633000030310000000";"106.33-3-31";"83";"WATKIN TER";"83 WATKIN TER";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"35";"157.98";"0";"2900";"2900";2900;2900;2900;2900;"04/16/2013";"1";"11241";"00608";"T";"";"R";0,12693526;0,12581138;"R-1";957,71875;161,534286456035;" ";83;83;-77,596678;43,174343;8982
"5841";13584;"10631000030190000000";"106.31-3-19";"2";"THEODORE ST";"2 THEODORE ST";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"40";"124.8";"0";"2800";"2800";2800;2800;2800;2800;"03/07/2003";"97277";"09754";"00483";"T";"";"R";0,11460055;0,11378698;"R-1";866,203125;137,496037823291;" ";2;2;-77,606758;43,17457;9643
"586";13586;"10629000030020000000";"106.29-3-2";"72";"CONKEY AV";"72 CONKEY AV";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"55";"100";"0.13";"5000";"5000";5000;5000;5000;5000;"04/28/2009";"1";"10738";"00677";"T";"";"R";0,12626263;0,12267507;"R-1";933,86328125;128,419949342438;" ";72;72;-77,619286;43,174599;9230
"587";13587;"10631000040380000000";"106.31-4-38";"62";"SULLIVAN ST";"62 SULLIVAN ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"35";"82.98";"0";"1200";"1200";1200;1200;1200;1200;"02/27/2006";"63281";"10262";"00049";"Q";"";"R";0,06667355;0,06504658;"R-1";495,16015625;97,9337503566721;" ";62;62;-77,608818;43,174453;9672
"5901";13590;"10634000030420000000";"106.34-3-42";"149";"LINCOLN ST";"149 LINCOLN ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"NOU RITHYWATDANAR  ";"137 LINCOLN ST";"ROCHESTER  NY  14605";"50";"128.29";"0.15";"3100";"3100";3100;3100;3100;3100;"10/25/2016";"626";"11772";"00541";"Q";"";"R";0,14725666;0,14981845;"R-1";1140,47265625;156,788590507014;" ";149;149;-77,594849;43,174278;8882
"592";13592;"10635000030360000000";"106.35-3-36";"70";"MILLER ST";"70 MILLER ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"40.37";"290.2";"0.27";"5500";"5500";5500;5500;5500;5500;"11/04/1994";"1";"08548";"00577";"F";"";"R";0,26894798;0,26265422;"R-1";1999,40625;274,704928407961;" ";70;70;-77,588685;43,174142;8103
"626";13626;"12133000010600000000";"121.33-1-60";"48";"S UNION ST";"48 S UNION ST";"ROCHESTER";"14607";"330";"VACANT COMMERCIAL LAND";NA;"BABEY JEFFREY J & KAREN A  ";"101 NEWCASTLE RD";"ROCHESTER  NY  14610";"50.33";"64.1";"0.07";"4000";"4000";4000;4000;4000;4000;"04/30/1998";"10500";"09000";"00596";"W";"";"C";0,07406228;0,07252375;"R-3";551,70703125;94,6986409119608;" ";48;48;-77,597557;43,153702;10107
"629";13629;"12134000020240000000";"121.34-2-24";"45";"MEIGS ST";"45 MEIGS ST";"ROCHESTER";"14607";"311";"RESIDENTIAL VACANT LAND";NA;"6 SIBLEY PLACE LLC  ";"21 MOUNTAIN RISE";"FAIRPORT NY  14450";"50";"149.66";"0";"12700";"12700";12700;12700;12700;12700;"06/24/2010";"475000";"10893";"00295";"W";"";"R";0,17178604;0,17234631;"R-2";1311,05859375;166,68186492892;" ";45;45;-77,5915969;43,153335;9995
"7031";13703;"10659000010080000000";"106.59-1-8";"283";NA;NA;"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";NA;NA;NA;NA;NA;"2800";"2800";2800;2800;2800;2800;"04/26/2011";"1";"10991";"00222";"T";"";NA;NA;0,11360844;"PMV";864,65234375;134,937611866294;" ";NA;NA;-77,6109219;43,16103;10867
"7142";13714;"10659000010430000000";"106.59-1-43";"71";"FIRST ST";"71 FIRST ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"40";"120";"0";"2800";"2800";2800;2800;2800;2800;"12/31/1996";"1";"08824";"00128";"P";"";"R";0,11019284;0,11049085;"PMV";840,92578125;133,507871331523;" ";71;71;-77,588356;43,167823;9698
"715";13715;"10658000020380020000";"106.58-2-38.002";"6.5";"WAIT ST";"6.5 WAIT ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"10";"98.78";"0.02";"400";"400";400;400;400;400;"06/04/1999";"1";"09167";"00632";"Q";"";"R";0,02267677;0,02269035;"R-1";172,6796875;92,2255185764273;" ";6;5;-77,592659;43,168075;10616
"7203";13720;"10659000020850010000";"106.59-2-85.001";"64";"SECOND ST";"64 SECOND ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"ROLDAN CARLOS J  ";"60 SECOND ST";"ROCHESTER  NY  14605";"20";"120";"0";"1900";"1900";1900;1900;1900;1900;"01/10/2005";"12000";"10076";"00575";"W";"";"R";0,05509642;0,05506915;"R-2";419,1171875;116,942223507383;" ";64;64;-77,586547;43,1677279;9386
"723";13723;"10658000030770110000";"106.58-3-77.011";"325";"N UNION ST";"325 N UNION ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"87";"108";"0.22";"7300";"7300";7300;7300;7300;7300;"11/17/2005";"1054752";"10216";"00530";"T";"";"R";0,21570248;0,21063195;"R-1";1603,0546875;161,084861652683;" ";325;325;-77,590145;43,167518;10233
"7244";13724;"10657000010370040000";"106.57-1-37.004";"529";"NORTH ST";"529 NORTH ST";"ROCHESTER";"14614";"330";"VACANT COMMERCIAL LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"30";"2";"0";"100";"100";100;100;100;100;" ";"0";"5346";"00001";" ";"";"C";0,00137741;0,00152243;NA;11,58984375;27,4135802167089;" ";529;529;-77,599948;43,167734;11220
"7331";13733;"10666000010400010000";"106.66-1-40.001";"120";"LEWIS ST";"120 LEWIS ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"70";"115.5";"0.18";"3300";"3300";3300;3300;3300;3300;"11/07/2003";"616203";"09875";"00325";"T";"";"R";0,18560606;0,18436028;"MH-URD/R-2";1402,984375;154,419548475978;" ";120;120;-77,594735;43,164836;11092
"7372";13737;"10665000010510000000";"106.65-1-51";"67";"LEWIS ST";"67 LEWIS ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"35.5";"115.62";"0";"1500";"1500";1500;1500;1500;1500;" ";"0";"00000";"00000";" ";"";"R";0,09422658;0,0919665;"O-S";699,8671875;125,050797710866;" ";67;67;-77,596231;43,164827;11166
"7431";13743;"10666000010330000000";"106.66-1-33";"148";"LEWIS ST";"148 LEWIS ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"35";"115.5";"0.09";"2700";"2700";2700;2700;2700;2700;"11/07/2003";"616203";"09875";"00325";"T";"";"R";0,09280303;0,09278533;"MH-URD/R-2";706,09375;125,369345550708;" ";148;148;-77,593941;43,164601;11038
"7491";13749;"10666000020080000000";"106.66-2-8";"131";"LEWIS ST";"131 LEWIS ST";"ROCHESTER";"14605";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"33";"115.08";"0";"2000";"2000";2000;2000;2000;2000;"04/26/2011";"1";"10991";"00222";"T";"";"R";0,08718182;0,08422518;"MH-URD/R-2";640,94140625;123,227383165483;" ";131;131;-77,594582;43,164333;11093
